Extraction des impliquants premiers
T: Déjà Traité  P: Premier  A: en attente

Groupage N°1
T -0100000111
T 00100001-11
T 001000-1011
T 00100-01011
T 0010-001011
T 001-0001011
T 0-100001011
T -0100001011
T 001000011-1
T 001000-1101
T 00100-01101
T 0010-001101
T 001-0001101
T 0-100001101
T -0100001101
T 00100010-11
T 0010001-011
T 00100-10011
T 0010-010011
T 001-0010011
T 0-100010011
T -0100010011
T 001000101-1
T 0010001-101
T 00100-10101
T 0010-010101
T 001-0010101
T 0-100010101
T -0100010101
T 001000110-1
T 00100011-01
T 00100-11001
T 0010-011001
T 001-0011001
T 0-100011001
T -0100011001
T 00100100-11
T 0010010-011
T 001001-0011
T 0010-100011
T 001-0100011
T 0-100100011
T -0100100011
T 001001001-1
T 0010010-101
T 001001-0101
T 0010-100101
T 001-0100101
T 0-100100101
T -0100100101
T 001001010-1
T 00100101-01
T 001001-1001
T 0010-101001
T 001-0101001
T 0-100101001
T -0100101001
T 001001100-1
T 00100110-01
T 0010011-001
T 0010-110001
T 001-0110001
T 0-100110001
T -0100110001
T 00101000-11
T 0010100-011
T 001010-0011
T 00101-00011
T 001-1000011
T 0-101000011
T -0101000011
T 001010001-1
T 0010100-101
T 001010-0101
T 00101-00101
T 001-1000101
T 0-101000101
T -0101000101
T 001010010-1
T 00101001-01
T 001010-1001
T 00101-01001
T 001-1001001
T 0-101001001
T -0101001001
T 001010100-1
T 00101010-01
T 0010101-001
T 00101-10001
T 001-1010001
T 0-101010001
T -0101010001
T 001011000-1
T 00101100-01
T 0010110-001
T 001011-0001
T 001-1100001
T 0-101100001
T -0101100001
T 00110000-11
T 0011000-011
T 001100-0011
T 00110-00011
T 0011-000011
T 0-110000011
T -0110000011
T 001100001-1
T 0011000-101
T 001100-0101
T 00110-00101
T 0011-000101
T 0-110000101
T -0110000101
T 001100010-1
T 00110001-01
T 001100-1001
T 00110-01001
T 0011-001001
T 0-110001001
T -0110001001
T 001100100-1
T 00110010-01
T 0011001-001
T 00110-10001
T 0011-010001
T 0-110010001
T -0110010001
T 001101000-1
T 00110100-01
T 0011010-001
T 001101-0001
T 0011-100001
T 0-110100001
T -0110100001
T 001110000-1
T 00111000-01
T 0011100-001
T 001110-0001
T 00111-00001
T 0-111000001
T -0111000001
T 0100000-111
T 010000-0111
